Year,Average Global Temperature(°C),Sea Level Rise(mm)
1880,13.00,0
1881,13.02,0.04
1882,13.04,0.16
1883,13.06,0.36
1884,13.08,0.64
1885,13.10,1.00
1886,13.12,1.44
1887,13.14,1.96
1888,13.16,2.56
1889,13.18,3.24
1890,13.20,4.00
1891,13.22,4.84
1892,13.24,5.76
1893,13.26,6.76
1894,13.28,7.84
1895,13.30,9.00
1896,13.32,10.24
1897,13.34,11.56
1898,13.36,12.96
1899,13.38,14.44
1900,13.40,16.00
1901,13.42,17.64
1902,13.44,19.36
1903,13.46,21.16
1904,13.48,23.04
1905,13.50,25.00
1906,13.52,27.04
1907,13.54,29.16
1908,13.56,31.36
1909,13.58,33.64
1910,13.60,36.00
1911,13.62,38.44
1912,13.64,40.96
1913,13.66,43.56
1914,13.68,46.24
1915,13.70,49.00
1916,13.72,51.84
1917,13.74,54.76
1918,13.76,57.76
1919,13.78,60.84
1920,13.80,64.00
1921,13.82,67.24
1922,13.84,70.56
1923,13.86,73.96
1924,13.88,77.44
1925,13.90,81.00
1926,13.92,84.64
1927,13.94,88.36
1928,13.96,92.16
1929,13.98,96.04
1930,14.00,100.00
1931,14.02,104.04
1932,14.04,108.16
1933,14.06,112.36
1934,14.08,116.64
1935,14.10,121.00
1936,14.12,125.44
1937,14.14,129.96
1938,14.16,134.56
1939,14.18,139.24
1940,14.20,144.00
1941,14.22,148.84
1942,14.24,153.76
1943,14.26,158.76
1944,14.28,163.84
1945,14.30,169.00
1946,14.32,174.24
1947,14.34,179.56
1948,14.36,184.96
1949,14.38,190.44
1950,14.40,196.00
1951,14.42,201.64
1952,14.44,207.36
1953,14.46,213.16
1954,14.48,219.04
1955,14.50,225.00
1956,14.52,231.04
1957,14.54,237.16
1958,14.56,243.36
1959,14.58,249.64
1960,14.60,256.00
1961,14.62,262.44
1962,14.64,268.96
1963,14.66,275.56
1964,14.68,282.24
1965,14.70,289.00
1966,14.72,295.84
1967,14.74,302.76
1968,14.76,309.76
1969,14.78,316.84
1970,14.80,324.00
1971,14.82,331.24
1972,14.84,338.56
1973,14.86,345.96
1974,14.88,353.44
1975,14.90,361.00
1976,14.92,368.64
1977,14.94,376.36
1978,14.96,384.16
1979,14.98,392.04
1980,15.00,400.00
1981,15.02,408.04
1982,15.04,416.16
1983,15.06,424.36
1984,15.08,432.64
1985,15.10,441.00
1986,15.12,449.44
1987,15.14,457.96
1988,15.16,466.56
1989,15.18,475.24
1990,15.20,484.00
1991,15.22,492.84
1992,15.24,501.76
1993,15.26,510.76
1994,15.28,519.84
1995,15.30,529.00
1996,15.32,538.24
1997,15.34,547.56
1998,15.36,556.96
1999,15.38,566.44
2000,15.40,576.00
2001,15.42,585.64
2002,15.44,595.36
2003,15.46,605.16
2004,15.48,615.04
2005,15.50,625.00
2006,15.52,635.04
2007,15.54,645.16
2008,15.56,655.36
2009,15.58,665.64
2010,15.60,676.00
2011,15.62,686.44
2012,15.64,696.96
2013,15.66,707.56
2014,15.68,718.24
2015,15.70,729.00
2016,15.72,739.84
2017,15.74,750.76
2018,15.76,761.76
2019,15.78,772.84
2020,15.80,784.00
2021,15.82,795.24
2022,15.84,806.56
2023,15.86,817.96
2024,15.88,829.44
